Date,Load
2006-08-15,593214.0
2006-08-16,676050.0
2006-08-17,708089.0
2006-08-18,731901.0
2006-08-19,710689.0
2006-08-20,664827.0
2006-08-21,809264.0
2006-08-22,849799.0
2006-08-23,857449.0
2006-08-24,863209.0
2006-08-25,854894.0
2006-08-26,775933.0
2006-08-27,682183.0
2006-08-28,892709.0
2006-08-29,949376.0
2006-08-30,956555.0
2006-08-31,953982.0
2006-09-01,949761.0
2006-09-02,819419.0
2006-09-03,723858.0
2006-09-04,957068.0
2006-09-05,1016184.0
2006-09-06,1040314.0
2006-09-07,1055372.0
2006-09-08,1039578.0
2006-09-09,869753.0
2006-09-10,738105.0
2006-09-11,971327.0
2006-09-12,1004984.0
2006-09-13,1012284.0
2006-09-14,1013988.0
2006-09-15,1005597.0
2006-09-16,838838.0
2006-09-17,710336.0
2006-09-18,938148.0
2006-09-19,978932.0
2006-09-20,983581.0
2006-09-21,988727.0
2006-09-22,992087.0
2006-09-23,842519.0
2006-09-24,715280.0
2006-09-25,951134.0
2006-09-26,979938.0
2006-09-27,973642.0
2006-09-28,968880.0
2006-09-29,978764.0
2006-09-30,836025.0
2006-10-01,722600.0
2006-10-02,948453.0
2006-10-03,997933.0
2006-10-04,990945.0
2006-10-05,975588.0
2006-10-06,965600.0
2006-10-07,828018.0
2006-10-08,704488.0
2006-10-09,926986.0
2006-10-10,963901.0
2006-10-11,968244.0
2006-10-12,969915.0
2006-10-13,956014.0
2006-10-14,825432.0
2006-10-15,705888.0
2006-10-16,929102.0
2006-10-17,966660.0
2006-10-18,965850.0
2006-10-19,976068.0
2006-10-20,981265.0
2006-10-21,836665.0
2006-10-22,715025.0
2006-10-23,947741.0
2006-10-24,980764.0
2006-10-25,964883.0
2006-10-26,981651.0
2006-10-27,979110.0
2006-10-28,841722.0
2006-10-29,720505.0
2006-10-30,932358.0
2006-10-31,959193.0
2006-11-01,729669.0
2006-11-02,921371.0
2006-11-03,965629.0
2006-11-04,844934.0
2006-11-05,735275.0
2006-11-06,970611.0
2006-11-07,1002815.0
2006-11-08,1011804.0
2006-11-09,1007773.0
2006-11-10,1003439.0
2006-11-11,861984.0
2006-11-12,745214.0
2006-11-13,969571.0
2006-11-14,1004348.0
2006-11-15,1014213.0
